
======================================================= 
Ontology Annotation Diagnostics
======================================================= 

--------------------------------------- 
Data properties annotations diagnostics
--------------------------------------- 

--------------------------------------- 
Object properties annotations diagnostics
--------------------------------------- 

--------------------------------------- 
Classes annotations diagnostics
--------------------------------------- 
anomalous_left_coronary_from_pulmonary_artery : without label [fr, en]
ependymitis_granularis : without definition [fr, en]
arteriovenous_malformation : without label [fr, en]
arteriovenous_malformation : without definition [fr, en]
mucosal_flap_in_bronchus : without label [fr, en]
mucosal_flap_in_bronchus : without definition [fr, en]
tuberculosis_in_spleen : without label [fr, en]
tuberculosis_in_spleen : without definition [fr, en]
bile_duct_filling_defect : without label [fr, en]
bile_duct_filling_defect : without definition [fr, en]
corneal_dysplasia : without label [fr, en]
corneal_dysplasia : without definition [fr, en]
skin_atrophy : without label [fr, en]
skin_atrophy : without definition [fr, en]
Ehlers_Danlos_syndrome_type_4 : without label [fr, en]
Ehlers_Danlos_syndrome_type_4 : without definition [fr, en]
congenital_aggressive_lipomatosis : without label [fr, en]
congenital_aggressive_lipomatosis : without definition [fr, en]
crystal_synovitis : without label [fr, en]
crystal_synovitis : without definition [fr, en]
short_rib_syndrome : without label [fr, en]
short_rib_syndrome : without definition [fr, en]
HP_0000024 : without label [fr, en]
HP_0000024 : without definition [fr, en]
HP_0001355 : without label [fr, en]
HP_0001355 : without definition [fr, en]
mitochondrial_neurogastrointestinal_encephalomyopathy : without label [fr, en]
mitochondrial_neurogastrointestinal_encephalomyopathy : without definition [fr, en]
apophyseal_lytic_lesion : without label [fr, en]
apophyseal_lytic_lesion : without definition [fr, en]
HP_0000023 : without label [fr, en]
HP_0000023 : without definition [fr, en]
Congenital_hemolytic_icterus : without label [fr, en]
Congenital_hemolytic_icterus : without definition [fr, en]
brachydactyly_with_elbow_dysplasia : without label [fr, en]
brachydactyly_with_elbow_dysplasia : without definition [fr, en]
air : without label [fr, en]
air : without definition [fr, en]
colon_obstruction : without label [fr, en]
colon_obstruction : without definition [fr, en]
hemangioma : without label [fr, en]
hemangioma : without definition [fr, en]
microabscess : without label [fr, en]
microabscess : without definition [fr, en]
polycystic_ovaries : without label [fr, en]
polycystic_ovaries : without definition [fr, en]
dilated_thoracic_duct : without label [fr, en]
dilated_thoracic_duct : without definition [fr, en]
overgrowth_syndrome_with_2q37_translocations : without label [fr, en]
overgrowth_syndrome_with_2q37_translocations : without definition [fr, en]
condensing_osteitis : without label [fr, en]
condensing_osteitis : without definition [fr, en]
ectopic_thumb : without label [fr, en]
ectopic_thumb : without definition [fr, en]
iatrogenic_bowel_perforation : without label [fr, en]
iatrogenic_bowel_perforation : without definition [fr, en]
wide_superior_mediastinum_in_an_infant_or_child : without label [fr, en]
wide_superior_mediastinum_in_an_infant_or_child : without definition [fr, en]
irradiation : without label [fr, en]
irradiation : without definition [fr, en]
pheochromocytoma_of_bladder : without label [fr, en]
pheochromocytoma_of_bladder : without definition [fr, en]
Wallenberg_syndrome : without label [fr, en]
Wallenberg_syndrome : without definition [fr, en]
extravasated_lymph : without label [fr, en]
extravasated_lymph : without definition [fr, en]
portal_vein_aneurysm : without label [fr, en]
portal_vein_aneurysm : without definition [fr, en]
endobronchial_metastasis : without label [fr, en]
endobronchial_metastasis : without definition [fr, en]
hemothorax : without label [fr, en]
hemothorax : without definition [fr, en]
HP_0001367 : without label [fr, en]
HP_0001367 : without definition [fr, en]
complicated_hydatid_cyst : without label [fr, en]
complicated_hydatid_cyst : without definition [fr, en]
mitomycin : without label [fr, en]
mitomycin : without definition [fr, en]
HP_0001369 : without label [fr, en]
HP_0001369 : without definition [fr, en]
HP_0000031 : without label [fr, en]
HP_0000031 : without definition [fr, en]
HP_0001362 : without label [fr, en]
HP_0001362 : without definition [fr, en]
HP_0001363 : without label [fr, en]
HP_0001363 : without definition [fr, en]
duct_abnormality : without label [fr, en]
duct_abnormality : without definition [fr, en]
adenomatous_polyp_of_papilla : without label [fr, en]
adenomatous_polyp_of_papilla : without definition [fr, en]
cervical_stenosis : without label [fr, en]
cervical_stenosis : without definition [fr, en]
celiac_artery_collaterals : without label [fr, en]
celiac_artery_collaterals : without definition [fr, en]
ectopic_pupils : without label [fr, en]
ectopic_pupils : without definition [fr, en]
medial_flipped_flap_tear : without label [fr, en]
medial_flipped_flap_tear : without definition [fr, en]
basement_shower_extrinsic_allergic_alveolitis : without label [fr, en]
basement_shower_extrinsic_allergic_alveolitis : without definition [fr, en]
malignant_infiltration_of_liver_by_primary_or_metastatic_neoplasm : without label [fr, en]
malignant_infiltration_of_liver_by_primary_or_metastatic_neoplasm : without definition [fr, en]
enteric_duplication_cyst : without label [fr, en]
enteric_duplication_cyst : without definition [fr, en]
Smith_Lemli_Opitz_syndrome : without label [fr, en]
Smith_Lemli_Opitz_syndrome : without definition [fr, en]
argyrosiderosis : without label [fr, en]
argyrosiderosis : without definition [fr, en]
intramural_esophageal_pseudodiverticulosis : without label [fr, en]
intramural_esophageal_pseudodiverticulosis : without definition [fr, en]
pes_cavus : without label [fr, en]
pes_cavus : without definition [fr, en]
hypoplasia_of_dens : without label [fr, en]
hypoplasia_of_dens : without definition [fr, en]
familial_congenital_pulmonary_lymphangiectasis : without label [fr, en]
familial_congenital_pulmonary_lymphangiectasis : without definition [fr, en]
hypoxemia : without label [fr, en]
hypoxemia : without definition [fr, en]
DOID_7166 : without label [fr, en]
DOID_7166 : without definition [fr, en]
clear_cell_adenocarcinoma_of_ovary : without label [fr, en]
clear_cell_adenocarcinoma_of_ovary : without definition [fr, en]
simple_linear_skull_fractures : without label [fr, en]
simple_linear_skull_fractures : without definition [fr, en]
cyanotic_admixture_lesion : without label [fr, en]
cyanotic_admixture_lesion : without definition [fr, en]
denervation : without label [fr, en]
denervation : without definition [fr, en]
vertebral_fracture : without label [fr, en]
vertebral_fracture : without definition [fr, en]
toxic_shock_syndrome : without label [fr, en]
toxic_shock_syndrome : without definition [fr, en]
immune_abnormalities : without label [fr, en]
immune_abnormalities : without definition [fr, en]
chest_wall_sarcoma : without label [fr, en]
chest_wall_sarcoma : without definition [fr, en]
rupture_of_aortic_valve_cusp_with_VSD : without label [fr, en]
rupture_of_aortic_valve_cusp_with_VSD : without definition [fr, en]
multicentric_bone_sarcoma : without label [fr, en]
multicentric_bone_sarcoma : without definition [fr, en]
parvovirus_arthropathy : without label [fr, en]
parvovirus_arthropathy : without definition [fr, en]
severe_T_cell_immunodeficiency_congenital_alopecia_nail_dystrophy : without label [fr, en]
severe_T_cell_immunodeficiency_congenital_alopecia_nail_dystrophy : without definition [fr, en]
atrial_myxoma_embolization : without label [fr, en]
atrial_myxoma_embolization : without definition [fr, en]
granulomas : without label [fr, en]
granulomas : without definition [fr, en]
Witkop_tooth_nail_syndrome : without label [fr, en]
Witkop_tooth_nail_syndrome : without definition [fr, en]
Clostridium_difficile_colitis : without label [fr, en]
Clostridium_difficile_colitis : without definition [fr, en]
Bland_White_Garland_syndrome : without label [fr, en]
Bland_White_Garland_syndrome : without definition [fr, en]
sclerosing_osteitis : without label [fr, en]
sclerosing_osteitis : without definition [fr, en]
basal_cell_carcinoma_in_children : without label [fr, en]
basal_cell_carcinoma_in_children : without definition [fr, en]
psychomotor_development_delay : without label [fr, en]
psychomotor_development_delay : without definition [fr, en]
diametaphyseal_bone_lesion : without label [fr, en]
diametaphyseal_bone_lesion : without definition [fr, en]
oculogastrointestinal_muscular_dystrophy : without label [fr, en]
oculogastrointestinal_muscular_dystrophy : without definition [fr, en]
white_matter_disease : without label [fr, en]
white_matter_disease : without definition [fr, en]
DOID_7147 : without label [fr, en]
DOID_7147 : without definition [fr, en]
extrasystoles_short_stature_hyperpigmentation_microcephaly : without label [fr, en]
extrasystoles_short_stature_hyperpigmentation_microcephaly : without definition [fr, en]
spur : without label [fr, en]
spur : without definition [fr, en]
prolapsed_valve : without label [fr, en]
prolapsed_valve : without definition [fr, en]
Roch_Leri_syndrome : without label [fr, en]
Roch_Leri_syndrome : without definition [fr, en]
DOID_7148 : without label [fr, en]
DOID_7148 : without definition [fr, en]
carcinoma_of_cervix_or_uterus : without label [fr, en]
carcinoma_of_cervix_or_uterus : without definition [fr, en]
autosomal_dominant_microcephaly : without label [fr, en]
autosomal_dominant_microcephaly : without definition [fr, en]
papillary_serous_cystadenocarcinoma_of_ovary : without label [fr, en]
papillary_serous_cystadenocarcinoma_of_ovary : without definition [fr, en]
cystic_fetal_upper_abdominal_mass : without label [fr, en]
cystic_fetal_upper_abdominal_mass : without definition [fr, en]
kwashiorkor : without label [fr, en]
kwashiorkor : without definition [fr, en]
monilethrix : without label [fr, en]
monilethrix : without definition [fr, en]
urethral_stricture : without label [fr, en]
urethral_stricture : without definition [fr, en]
petroclinoid_ligament_calcification : without label [fr, en]
petroclinoid_ligament_calcification : without definition [fr, en]
right_posterior_aortic_arch_with_aberrant_left_subclavian_artery : without label [fr, en]
right_posterior_aortic_arch_with_aberrant_left_subclavian_artery : without definition [fr, en]
muscle_fatigue : without label [fr, en]
muscle_fatigue : without definition [fr, en]
radiation_gastritis : without label [fr, en]
radiation_gastritis : without definition [fr, en]
expanding_cavum_septi_pellucidi_cyst : without label [fr, en]
expanding_cavum_septi_pellucidi_cyst : without definition [fr, en]
small_bowel_bypass : without label [fr, en]
small_bowel_bypass : without definition [fr, en]
depression_in_renal_margin : without label [fr, en]
depression_in_renal_margin : without definition [fr, en]
DOID_8440 : without label [fr, en]
DOID_8440 : without definition [fr, en]
DOID_8445 : without label [fr, en]
DOID_8445 : without definition [fr, en]
single_upper_incisor : without label [fr, en]
single_upper_incisor : without definition [fr, en]
patella_infra : without label [fr, en]
patella_infra : without definition [fr, en]
right_ventricular_enlargement : without label [fr, en]
right_ventricular_enlargement : without definition [fr, en]
Larsen_syndrome_dominant : without label [fr, en]
Larsen_syndrome_dominant : without definition [fr, en]
Pituitary_disease : without label [fr, en]
Pituitary_disease : without definition [fr, en]
intestinal_lymphangiectasia : without label [fr, en]
intestinal_lymphangiectasia : without definition [fr, en]
DOID_8446 : without label [fr, en]
DOID_8446 : without definition [fr, en]
recombinant_8_syndrome : without label [fr, en]
recombinant_8_syndrome : without definition [fr, en]
incontinentia_pigmenti : without label [fr, en]
incontinentia_pigmenti : without definition [fr, en]
chromosome_22q11_deletion : without label [fr, en]
chromosome_22q11_deletion : without definition [fr, en]
interstitial_pulmonary_fibrosis : without label [fr, en]
interstitial_pulmonary_fibrosis : without definition [fr, en]
HP_0001298 : without label [fr, en]
HP_0001298 : without definition [fr, en]
T2_hyperintense_supraspinatus_tendon : without label [fr, en]
T2_hyperintense_supraspinatus_tendon : without definition [fr, en]
chronic_inflammatory_demyelinating_polyneuropathy : without label [fr, en]
chronic_inflammatory_demyelinating_polyneuropathy : without definition [fr, en]
deferoxamine_induced_bone_dysplasia : without label [fr, en]
deferoxamine_induced_bone_dysplasia : without definition [fr, en]
interradicular_radiolucency_in_the_jaw : without label [fr, en]
interradicular_radiolucency_in_the_jaw : without definition [fr, en]
tracheo_esophageal_fistula_hypospadias : without label [fr, en]
tracheo_esophageal_fistula_hypospadias : without definition [fr, en]
CATCH_22_syndrome : without label [fr, en]
CATCH_22_syndrome : without definition [fr, en]
HP_0001290 : without label [fr, en]
HP_0001290 : without definition [fr, en]
DOID_8452 : without label [fr, en]
DOID_8452 : without definition [fr, en]
renal_laceration : without label [fr, en]
renal_laceration : without definition [fr, en]
focal_acoustic_shadowing_in_liver : without label [fr, en]
focal_acoustic_shadowing_in_liver : without definition [fr, en]
perforated_colonic_diverticulum : without label [fr, en]
perforated_colonic_diverticulum : without definition [fr, en]
upper_abdominal_mass_in_a_neonate_or_child : without label [fr, en]
upper_abdominal_mass_in_a_neonate_or_child : without definition [fr, en]
Troell_Junet_syndrome : without label [fr, en]
Troell_Junet_syndrome : without definition [fr, en]
neuronal_migration_disorder : without label [fr, en]
neuronal_migration_disorder : without definition [fr, en]
thick_skull : without label [fr, en]
thick_skull : without definition [fr, en]
bladder_tumor : without label [fr, en]
bladder_tumor : without definition [fr, en]
isolated_anomaly : without label [fr, en]
isolated_anomaly : without definition [fr, en]
abnormal_behavior : without label [fr, en]
abnormal_behavior : without definition [fr, en]
focal_high_attenuation_liver_lesion : without label [fr, en]
focal_high_attenuation_liver_lesion : without definition [fr, en]
postoperative_tracheal_stricture : without label [fr, en]
postoperative_tracheal_stricture : without definition [fr, en]
laryngeal_web : without label [fr, en]
laryngeal_web : without definition [fr, en]
metamphetamine_abuse : without label [fr, en]
metamphetamine_abuse : without definition [fr, en]
pseudomacrodactyly : without label [fr, en]
pseudomacrodactyly : without definition [fr, en]
brachydactyly_type_E : without label [fr, en]
brachydactyly_type_E : without definition [fr, en]
mesomelic_dysplasia_with_spur_limbs : without label [fr, en]
mesomelic_dysplasia_with_spur_limbs : without definition [fr, en]
postbulbar_duodenal_ulcer_with_scarring_or_perforation : without label [fr, en]
postbulbar_duodenal_ulcer_with_scarring_or_perforation : without definition [fr, en]
slender_clavicle : without label [fr, en]
slender_clavicle : without definition [fr, en]
brachydactyly_type_D : without label [fr, en]
brachydactyly_type_D : without definition [fr, en]
birth_anoxia : without label [fr, en]
birth_anoxia : without definition [fr, en]
brachydactyly_type_C : without label [fr, en]
brachydactyly_type_C : without definition [fr, en]
brachydactyly_type_B : without label [fr, en]
brachydactyly_type_B : without definition [fr, en]
perineural_spread : without label [fr, en]
perineural_spread : without definition [fr, en]
empty_sella_syndrome : without label [fr, en]
empty_sella_syndrome : without definition [fr, en]
solitary_small_bowel_mass_with_preserved_mucosa : without label [fr, en]
solitary_small_bowel_mass_with_preserved_mucosa : without definition [fr, en]
DOID_9751 : without label [fr, en]
DOID_9751 : without definition [fr, en]
lead_intoxication : without label [fr, en]
lead_intoxication : without definition [fr, en]
chest_wall_hematoma : without label [fr, en]
chest_wall_hematoma : without definition [fr, en]
Ogilvie_syndrome : without label [fr, en]
Ogilvie_syndrome : without definition [fr, en]
severe_hydronephrosis : without label [fr, en]
severe_hydronephrosis : without definition [fr, en]
Ehlers_Danlos : without label [fr, en]
Ehlers_Danlos : without definition [fr, en]
HP_0025289 : without label [fr, en]
HP_0025289 : without definition [fr, en]
inioindineal_canal : without label [fr, en]
inioindineal_canal : without definition [fr, en]
cystic_jaw_lesion : without label [fr, en]
cystic_jaw_lesion : without definition [fr, en]
chromosome_4_abnormality : without label [fr, en]
chromosome_4_abnormality : without definition [fr, en]
renal_vein_thrombosis : without label [fr, en]
renal_vein_thrombosis : without definition [fr, en]
obstructed_vessels : without label [fr, en]
obstructed_vessels : without definition [fr, en]
Cole_Carpenter_syndrome : without label [fr, en]
Cole_Carpenter_syndrome : without definition [fr, en]
posterior_mediastinal_lesion : without label [fr, en]
posterior_mediastinal_lesion : without definition [fr, en]
disk_calcification : without label [fr, en]
disk_calcification : without definition [fr, en]
inhalation_of_noxious_gases : without label [fr, en]
inhalation_of_noxious_gases : without definition [fr, en]
DOID_8432 : without label [fr, en]
DOID_8432 : without definition [fr, en]
trichuris : without label [fr, en]
trichuris : without definition [fr, en]
campomelic_dysplasia : without label [fr, en]
campomelic_dysplasia : without definition [fr, en]
DOID_8437 : without label [fr, en]
DOID_8437 : without definition [fr, en]
Hodgkin_disease_involving_chest_wall : without label [fr, en]
Hodgkin_disease_involving_chest_wall : without definition [fr, en]
zinc_metabolism_disorder : without label [fr, en]
zinc_metabolism_disorder : without definition [fr, en]
familial_renal_neoplasm : without label [fr, en]
familial_renal_neoplasm : without definition [fr, en]
micrencephaly : without label [fr, en]
micrencephaly : without definition [fr, en]
predominantly_endodermal_phakomatosis : without label [fr, en]
predominantly_endodermal_phakomatosis : without definition [fr, en]
manganese_inhalation : without label [fr, en]
manganese_inhalation : without definition [fr, en]
Waldenström_syndrome : without label [fr, en]
Waldenström_syndrome : without definition [fr, en]
femur_hypoplasia : without label [fr, en]
femur_hypoplasia : without definition [fr, en]
extrahepatic_biliary_obstruction : without label [fr, en]
extrahepatic_biliary_obstruction : without definition [fr, en]
hyperostosis_generalisata : without label [fr, en]
hyperostosis_generalisata : without definition [fr, en]
familial_enteropathy_with_villous_edema_and_immunoglobulin_G2_subclass_deficiency : without label [fr, en]
familial_enteropathy_with_villous_edema_and_immunoglobulin_G2_subclass_deficiency : without definition [fr, en]
intracranial_tumor_in_a_child : without label [fr, en]
intracranial_tumor_in_a_child : without definition [fr, en]
lateral_canal_periapical_cyst : without label [fr, en]
lateral_canal_periapical_cyst : without definition [fr, en]
metastasis_to_esophagus : without label [fr, en]
metastasis_to_esophagus : without definition [fr, en]
pregnancy : without label [fr, en]
pregnancy : without definition [fr, en]
congenital_urethral_stricture : without label [fr, en]
congenital_urethral_stricture : without definition [fr, en]
microtia_cardiac_defect_deafness : without label [fr, en]
microtia_cardiac_defect_deafness : without definition [fr, en]
agenesis_of_corpus_callosum : without label [fr, en]
agenesis_of_corpus_callosum : without definition [fr, en]
isolated_clinodactyly_of_fifth_finger : without label [fr, en]
isolated_clinodactyly_of_fifth_finger : without definition [fr, en]
renal_artery_occlusion : without label [fr, en]
renal_artery_occlusion : without definition [fr, en]
trapped_fourth_ventricle : without label [fr, en]
trapped_fourth_ventricle : without definition [fr, en]
oat_cell_carcinoma_of_lung : without label [fr, en]
oat_cell_carcinoma_of_lung : without definition [fr, en]
mineralizing_vasculopathy : without label [fr, en]
mineralizing_vasculopathy : without definition [fr, en]
malignant_germ_cell_neoplasm : without label [fr, en]
malignant_germ_cell_neoplasm : without definition [fr, en]
chronic_colonic_stricture : without label [fr, en]
chronic_colonic_stricture : without definition [fr, en]
multiple_transfusions : without label [fr, en]
multiple_transfusions : without definition [fr, en]
anaphylaxis : without label [fr, en]
anaphylaxis : without definition [fr, en]
absence_deformity_of_leg : without label [fr, en]
absence_deformity_of_leg : without definition [fr, en]
E._multilocularis : without label [fr, en]
E._multilocularis : without definition [fr, en]
Coats_plus_syndrome : without label [fr, en]
Coats_plus_syndrome : without definition [fr, en]
vascular_facial_dysmorphism_syndrome : without label [fr, en]
vascular_facial_dysmorphism_syndrome : without definition [fr, en]
craniosynostosis_intracranial_calcifications : without label [fr, en]
craniosynostosis_intracranial_calcifications : without definition [fr, en]
rhinolith : without label [fr, en]
rhinolith : without definition [fr, en]
jugular_foramen_lesion : without label [fr, en]
jugular_foramen_lesion : without definition [fr, en]
pneumomediastinum_with_retroperitoneal_extension : without label [fr, en]
pneumomediastinum_with_retroperitoneal_extension : without definition [fr, en]
multiple_endocrine_neoplasia_syndrome_2B : without label [fr, en]
multiple_endocrine_neoplasia_syndrome_2B : without definition [fr, en]
dental_caries : without label [fr, en]
dental_caries : without definition [fr, en]
systemic_vasculopathy : without label [fr, en]
systemic_vasculopathy : without definition [fr, en]
nonglial_brain_neoplasm : without label [fr, en]
nonglial_brain_neoplasm : without definition [fr, en]
basidiobolomycosis : without label [fr, en]
basidiobolomycosis : without definition [fr, en]
sebaceous_cyst : without label [fr, en]
sebaceous_cyst : without definition [fr, en]
carbon_monxide_encephalopathy : without label [fr, en]
carbon_monxide_encephalopathy : without definition [fr, en]
symphalangism : without label [fr, en]
symphalangism : without definition [fr, en]
vincristine : without label [fr, en]
vincristine : without definition [fr, en]
allergic_reaction : without label [fr, en]
allergic_reaction : without definition [fr, en]
localized_cerebral_atrophy : without label [fr, en]
localized_cerebral_atrophy : without definition [fr, en]
vertebra_plana : without label [fr, en]
vertebra_plana : without definition [fr, en]
arch_defect_of_atlas : without label [fr, en]
arch_defect_of_atlas : without definition [fr, en]
ureteral_reimplantation : without label [fr, en]
ureteral_reimplantation : without definition [fr, en]
segmental_bronchial_atresia : without label [fr, en]
segmental_bronchial_atresia : without definition [fr, en]
blastoma : without label [fr, en]
blastoma : without definition [fr, en]
perforated_neoplasm_of_colon : without label [fr, en]
perforated_neoplasm_of_colon : without definition [fr, en]
upper_ocular_movement_limitation : without label [fr, en]
upper_ocular_movement_limitation : without definition [fr, en]
palate_intestinal_malrotation_cardiopathy : without label [fr, en]
palate_intestinal_malrotation_cardiopathy : without definition [fr, en]
disomy_15_syndrome : without label [fr, en]
disomy_15_syndrome : without definition [fr, en]
hamartoma : without label [fr, en]
hamartoma : without definition [fr, en]
idiopathic_craniosynostosis : without label [fr, en]
idiopathic_craniosynostosis : without definition [fr, en]
pancreatic_agenesis : without label [fr, en]
pancreatic_agenesis : without definition [fr, en]
XX_disorder_of_sex_development_skeletal_anomalies : without label [fr, en]
XX_disorder_of_sex_development_skeletal_anomalies : without definition [fr, en]
meningeal_neoplasm : without label [fr, en]
meningeal_neoplasm : without definition [fr, en]
retarded_skeletal_maturation : without label [fr, en]
retarded_skeletal_maturation : without definition [fr, en]
splenic_vein_obstruction : without label [fr, en]
splenic_vein_obstruction : without definition [fr, en]
truncus_arteriosus_with_single_pulmonary_artery : without label [fr, en]
truncus_arteriosus_with_single_pulmonary_artery : without definition [fr, en]
hypophosphatemic_rickets : without label [fr, en]
hypophosphatemic_rickets : without definition [fr, en]
tuboovarian_abscess : without label [fr, en]
tuboovarian_abscess : without definition [fr, en]
glomus_jugulare_tumor : without label [fr, en]
glomus_jugulare_tumor : without definition [fr, en]
DOID_0060873 : without label [fr, en]
DOID_0060873 : without definition [fr, en]
Necator_americanus : without label [fr, en]
Necator_americanus : without definition [fr, en]
diaphragmatic_eventration : without label [fr, en]
diaphragmatic_eventration : without definition [fr, en]
metopic_craniosynostosis : without label [fr, en]
metopic_craniosynostosis : without definition [fr, en]
enhancing_spinal_cord_lesion : without label [fr, en]
enhancing_spinal_cord_lesion : without definition [fr, en]
lymph_node_excision : without label [fr, en]
lymph_node_excision : without definition [fr, en]
general_signs_of_inflammation : without label [fr, en]
general_signs_of_inflammation : without definition [fr, en]
prominent_upper_incisors : without label [fr, en]
prominent_upper_incisors : without definition [fr, en]
acrocephalosynakie : without label [fr, en]
acrocephalosynakie : without definition [fr, en]
arterial_collaterals : without label [fr, en]
arterial_collaterals : without definition [fr, en]
resolving_intracerebral_hematoma : without label [fr, en]
resolving_intracerebral_hematoma : without definition [fr, en]
basilar_arachnoiditis : without label [fr, en]
basilar_arachnoiditis : without definition [fr, en]
thin_scalp_hair : without label [fr, en]
thin_scalp_hair : without definition [fr, en]
coronary_disease : without label [fr, en]
coronary_disease : without definition [fr, en]
adnexal_lesion_with_high_diastolic_flow : without label [fr, en]
adnexal_lesion_with_high_diastolic_flow : without definition [fr, en]
ectopia_lentis_dysmorphism_syndrome : without label [fr, en]
ectopia_lentis_dysmorphism_syndrome : without definition [fr, en]
Dietl_syndrome : without label [fr, en]
Dietl_syndrome : without definition [fr, en]
double_barrel_esophagus : without label [fr, en]
double_barrel_esophagus : without definition [fr, en]
X_linked_sideroblastic_anemia : without label [fr, en]
X_linked_sideroblastic_anemia : without definition [fr, en]
septic_embolism : without label [fr, en]
septic_embolism : without definition [fr, en]
Mozart_ear : without label [fr, en]
Mozart_ear : without definition [fr, en]
cavum_vergae : without label [fr, en]
cavum_vergae : without definition [fr, en]
Holt_Oram_syndrome : without label [fr, en]
Holt_Oram_syndrome : without definition [fr, en]
dentigerous_cyst : without label [fr, en]
dentigerous_cyst : without definition [fr, en]
Birt_Hogg_Dubé_syndrome : without label [fr, en]
Birt_Hogg_Dubé_syndrome : without definition [fr, en]
dislocated_patella : without label [fr, en]
dislocated_patella : without definition [fr, en]
compression_of_pulmonary_artery : without label [fr, en]
compression_of_pulmonary_artery : without definition [fr, en]
congenital_meconium_plug : without label [fr, en]
congenital_meconium_plug : without definition [fr, en]
myelopathy : without label [fr, en]
myelopathy : without definition [fr, en]
nasal_septum_congenital_deformity : without label [fr, en]
nasal_septum_congenital_deformity : without definition [fr, en]
perisylvian_syndrome : without label [fr, en]
perisylvian_syndrome : without definition [fr, en]
cavum_septi_pellucidi : without label [fr, en]
cavum_septi_pellucidi : without definition [fr, en]
peritoneal_band_or_adhesion : without label [fr, en]
peritoneal_band_or_adhesion : without definition [fr, en]
adult_pyloric_hypertrophy : without label [fr, en]
adult_pyloric_hypertrophy : without definition [fr, en]
ureteroileal_diversion : without label [fr, en]
ureteroileal_diversion : without definition [fr, en]
anomalous_pulmonary_artery : without label [fr, en]
anomalous_pulmonary_artery : without definition [fr, en]
malabsorption_states : without label [fr, en]
malabsorption_states : without definition [fr, en]
achondroplasia_homozygous_type : without label [fr, en]
achondroplasia_homozygous_type : without definition [fr, en]
bladder_calculus : without label [fr, en]
bladder_calculus : without definition [fr, en]
spool_shaped_vertebrae : without label [fr, en]
spool_shaped_vertebrae : without definition [fr, en]
absent_cranial_convolutional_markings : without label [fr, en]
absent_cranial_convolutional_markings : without definition [fr, en]
infundibulopelvic_stenosis_multicystic_kidney : without label [fr, en]
infundibulopelvic_stenosis_multicystic_kidney : without definition [fr, en]
lateral_pharyngeal_diverticulum : without label [fr, en]
lateral_pharyngeal_diverticulum : without definition [fr, en]
tubular_bone_synostosis : without label [fr, en]
tubular_bone_synostosis : without definition [fr, en]
coxa_vara : without label [fr, en]
coxa_vara : without definition [fr, en]
poor_ossification_of_long_bones : without label [fr, en]
poor_ossification_of_long_bones : without definition [fr, en]
prolactinoma : without label [fr, en]
prolactinoma : without definition [fr, en]
perichondritis : without label [fr, en]
perichondritis : without definition [fr, en]
ceruminous_gland_tumor : without label [fr, en]
ceruminous_gland_tumor : without definition [fr, en]
deafness_small_bowel_diverticulosis_neuropathy : without label [fr, en]
deafness_small_bowel_diverticulosis_neuropathy : without definition [fr, en]
extramedullary_mass : without label [fr, en]
extramedullary_mass : without definition [fr, en]
liver_transplant : without label [fr, en]
liver_transplant : without definition [fr, en]
pneumatosis : without label [fr, en]
pneumatosis : without definition [fr, en]
intramural_hemorrhage_of_small_bowel : without label [fr, en]
intramural_hemorrhage_of_small_bowel : without definition [fr, en]
acute_glomerulonephritis : without label [fr, en]
acute_glomerulonephritis : without definition [fr, en]
jejunal_diverticulum : without label [fr, en]
jejunal_diverticulum : without definition [fr, en]
urinary_tract_cholesteatoma : without label [fr, en]
urinary_tract_cholesteatoma : without definition [fr, en]
short_tarsus_absence_of_lower_eyelashes : without label [fr, en]
short_tarsus_absence_of_lower_eyelashes : without definition [fr, en]
underdevelopment : without label [fr, en]
underdevelopment : without definition [fr, en]
s_cramp : without label [fr, en]
s_cramp : without definition [fr, en]
dwarfism : without label [fr, en]
dwarfism : without definition [fr, en]
esophageal_aortic_fistula : without label [fr, en]
esophageal_aortic_fistula : without definition [fr, en]
diffuse_necrotizing_leukoencephalopathy : without label [fr, en]
diffuse_necrotizing_leukoencephalopathy : without definition [fr, en]
magnesium_deficiency : without label [fr, en]
magnesium_deficiency : without definition [fr, en]
laryngeal_abductor_paralysis : without label [fr, en]
laryngeal_abductor_paralysis : without definition [fr, en]
neonatal_hypoglycemia : without label [fr, en]
neonatal_hypoglycemia : without definition [fr, en]
paranasal_sinus_neoplasm : without label [fr, en]
paranasal_sinus_neoplasm : without definition [fr, en]
hypertrichosis_cubiti_short_stature : without label [fr, en]
hypertrichosis_cubiti_short_stature : without definition [fr, en]
frontonasal_encephalocele : without label [fr, en]
frontonasal_encephalocele : without definition [fr, en]
insulin_reaction : without label [fr, en]
insulin_reaction : without definition [fr, en]
fenestrated_aortic_valve : without label [fr, en]
fenestrated_aortic_valve : without definition [fr, en]
hereditary_glomerulonephritis : without label [fr, en]
hereditary_glomerulonephritis : without definition [fr, en]
malignant_bone_neoplasm : without label [fr, en]
malignant_bone_neoplasm : without definition [fr, en]
congenital_esophageal_atresia : without label [fr, en]
congenital_esophageal_atresia : without definition [fr, en]
spondyloepimetaphyseal_dysplasia_with_joint_laxity_Hall_type : without label [fr, en]
spondyloepimetaphyseal_dysplasia_with_joint_laxity_Hall_type : without definition [fr, en]
absent_outer_half_of_eyebrows : without label [fr, en]
absent_outer_half_of_eyebrows : without definition [fr, en]
